16541A0202,R161107,COMPUTER PROGRAMMING,F,0
16541A0205,R161102,MATHEMATICS-I,F,0
16541A0205,R161107,COMPUTER PROGRAMMING,F,0
16541A0205,R161111,ENGINEERING MECHANICS,F,0
16541A0206,R161102,MATHEMATICS-I,F,0
16541A0209,R161102,MATHEMATICS-I,F,0
16541A0209,R161111,ENGINEERING MECHANICS,F,0
16541A0212,R161102,MATHEMATICS-I,C,3
16541A0216,R161102,MATHEMATICS-I,C,3
16541A0217,R161102,MATHEMATICS-I,F,0
16541A0219,R161102,MATHEMATICS-I,F,0
16541A0219,R161107,COMPUTER PROGRAMMING,F,0
16541A0220,R161102,MATHEMATICS-I,F,0
16541A0220,R161106,APPLIED CHEMISTRY,F,0
16541A0220,R161107,COMPUTER PROGRAMMING,F,0
16541A0221,R161102,MATHEMATICS-I,F,0
16541A0221,R161111,ENGINEERING MECHANICS,F,0
16541A0223,R161102,MATHEMATICS-I,F,0
16541A0223,R161107,COMPUTER PROGRAMMING,F,0
16541A0223,R161108,ENVIRONMENTAL STUDIES,F,0
16541A0225,R161111,ENGINEERING MECHANICS,F,0
16541A0226,R161102,MATHEMATICS-I,F,0
16541A0226,R161106,APPLIED CHEMISTRY,F,0
16541A0226,R161111,ENGINEERING MECHANICS,F,0
16541A0227,R161102,MATHEMATICS-I,F,0
16541A0227,R161107,COMPUTER PROGRAMMING,F,0
16541A0227,R161108,ENVIRONMENTAL STUDIES,F,0
16541A0305,R161107,COMPUTER PROGRAMMING,F,0
16541A0305,R161111,ENGINEERING MECHANICS,B,3
16541A0307,R161102,MATHEMATICS-I,F,0
16541A0307,R161107,COMPUTER PROGRAMMING,F,0
16541A0307,R161111,ENGINEERING MECHANICS,D,3
16541A0310,R161107,COMPUTER PROGRAMMING,F,0
16541A0311,R161102,MATHEMATICS-I,C,3
16541A0311,R161107,COMPUTER PROGRAMMING,F,0
16541A0316,R161107,COMPUTER PROGRAMMING,D,3
16541A0318,R161102,MATHEMATICS-I,F,0
16541A0318,R161107,COMPUTER PROGRAMMING,F,0
16541A0318,R161111,ENGINEERING MECHANICS,F,0
16541A0319,R161107,COMPUTER PROGRAMMING,F,0
16541A0319,R161108,ENVIRONMENTAL STUDIES,F,0
16541A0323,R161107,COMPUTER PROGRAMMING,F,0
16541A0323,R161108,ENVIRONMENTAL STUDIES,D,3
16541A0323,R161111,ENGINEERING MECHANICS,F,0
16541A0324,R161101,ENGLISH-I,F,0
16541A0324,R161105,ENGINEERING CHEMISTRY,F,0
16541A0324,R161108,ENVIRONMENTAL STUDIES,D,3
16541A0324,R161111,ENGINEERING MECHANICS,F,0
16541A0325,R161105,ENGINEERING CHEMISTRY,F,0
16541A0328,R161102,MATHEMATICS-I,C,3
16541A0328,R161105,ENGINEERING CHEMISTRY,F,0
16541A0328,R161111,ENGINEERING MECHANICS,F,0
16541A0329,R161102,MATHEMATICS-I,F,0
16541A0329,R161105,ENGINEERING CHEMISTRY,F,0
16541A0329,R161111,ENGINEERING MECHANICS,F,0
16541A0330,R161102,MATHEMATICS-I,F,0
16541A0330,R161105,ENGINEERING CHEMISTRY,D,3
16541A0330,R161107,COMPUTER PROGRAMMING,F,0
16541A0330,R161111,ENGINEERING MECHANICS,D,3
16541A0331,R161102,MATHEMATICS-I,F,0
16541A0331,R161107,COMPUTER PROGRAMMING,F,0
16541A0332,R161102,MATHEMATICS-I,F,0
16541A0332,R161107,COMPUTER PROGRAMMING,F,0
16541A0332,R161111,ENGINEERING MECHANICS,F,0
16541A0335,R161102,MATHEMATICS-I,D,3
